source,url,price_text,rooms_text,sqm_text,district,listed_at_text
flatfy,https://flatfy.ua/redirect/4688655992,$ 383,"2 кімнати, 54.3 / 33.9 / 7.1 м², поверх 5 з 9, з ремонтом, панельні, 1972, сьогодні о 14:53, Створено сьогодні о 14:53",54.3 м²,Шевченківський,
flatfy,https://flatfy.ua/redirect/4671344314,$ 563,"2 кімнати, 53 / 30 / 7 м², поверх 8 з 9, з ремонтом, панельні, 1972, сьогодні о 18:58, Створено сьогодні о 18:58",53 м²,Черепанова гора,
flatfy,https://flatfy.ua/redirect/4688553676,$ 496,"2 кімнати, 45 / - / 10 м², поверх 2 з 5, з ремонтом, цегляний будинок, 1965, сьогодні о 14:07, Створено сьогодні о 14:07",45 м²,Шевченківський,
flatfy,https://flatfy.ua/redirect/3699568355,$ 563,"2 кімнати, 45 / 26 / 8 м², поверх 8 з 16, з ремонтом, утеплена панель, 1979, сьогодні о 16:44, Створено сьогодні о 16:44",45 м²,Оболонський,
flatfy,https://flatfy.ua/redirect/4316931606,$ 856,"3 кімнати, 121 / 71 / 12 м², поверх 6 з 6, з ремонтом, цегляний будинок, 1914, сьогодні о 16:39, Створено сьогодні о 16:39",121 м²,,
flatfy,https://flatfy.ua/redirect/4381432900,$ 898,"3 кімнати, 135.8 / 74.8 / 16.3 м², поверх 19 з 24, з ремонтом, монолітно-каркасний, 2005, сьогодні о 16:40, Створено сьогодні о 16:40",135.8 м²,Лук'янівка,
flatfy,https://flatfy.ua/redirect/4659869045,$ 496,"2 кімнати, 90 / - / 12 м², поверх 10 з 25, з ремонтом, монолітно-каркасний, 2007, сьогодні о 16:36, Створено сьогодні о 16:36",90 м²,Березняки,
flatfy,https://flatfy.ua/redirect/4688397464,$ 451,"1 кімната, 28.7 / 16.3 / 5 м², поверх 1 з 5, з ремонтом, панельні, 1961, сьогодні о 13:57, Створено сьогодні о 13:57",28.7 м²,Голосіївський,
flatfy,https://flatfy.ua/redirect/4637041497,$ 338,"1 кімната, 44 м², поверх 9 з 9, з ремонтом, панельні, 1973, сьогодні о 16:57, Створено сьогодні о 16:57",44 м²,Солом’янський,
flatfy,https://flatfy.ua/redirect/4688479109,$ 788,"1 кімната, 65 м², поверх 1 з 4, з ремонтом, 2021, сьогодні о 15:13, Створено сьогодні о 15:13",65 м²,Оболонський,
flatfy,https://flatfy.ua/redirect/4689532832,$ 293,"1 кімната, 30 м², поверх 3 з 5, з ремонтом, цегляний будинок, 1969, сьогодні о 19:16, Створено сьогодні о 19:16",30 м²,Стара Дарниця,
flatfy,https://flatfy.ua/redirect/4689355842,$ 338,"1 кімната, 42 / 33 / 9 м², поверх 2 з 16, з ремонтом, утеплена панель, 2012, сьогодні о 18:26, Створено сьогодні о 18:26",42 м²,Новобіличі,
flatfy,https://flatfy.ua/redirect/3932002777,$ 417,"1 кімната, 28 / 20 / 8 м², поверх 13 з 25, з ремонтом, монолітно-каркасний, 2021, сьогодні о 21:01, Створено сьогодні о 21:01",28 м²,Караваєві Дачі,
flatfy,https://flatfy.ua/redirect/4658690551,$ 293,"1 кімната, 35 / 18 / 8.6 м², поверх 4 з 9, з ремонтом, утеплена панель, 1985, сьогодні о 20:07, Створено сьогодні о 20:07",35 м²,Харківський,
flatfy,https://flatfy.ua/redirect/4689893476,$ 1 013,"3 кімнати, 95 / 75 / 18 м², поверх 4 з 10, з ремонтом, блочні, 2017, сьогодні о 21:14, Створено сьогодні о 21:14",95 м²,Осокорки,
flatfy,https://flatfy.ua/redirect/4688364574,$ 372,"1 кімната, 30 / 10 / 10 м², поверх 18 з 26, з ремонтом, блочні, 2021, сьогодні о 13:01, Створено сьогодні о 13:01",30 м²,Голосіївський,
flatfy,https://flatfy.ua/redirect/4687887587,$ 676,"1 кімната, 40 / 15 / 18 м², поверх 10 з 16, з ремонтом, блочні, 2021, сьогодні о 12:48, Створено сьогодні о 12:48",40 м²,Нивки,
flatfy,https://flatfy.ua/redirect/4688107650,$ 372,"1 кімната, 35 / 13 / 13 м², поверх 1 з 9, з ремонтом, цегляний будинок, 1998, сьогодні о 11:35, Створено сьогодні о 11:35",35 м²,Мінський,
flatfy,https://flatfy.ua/redirect/4689400079,$ 1 300,"3 кімнати, 130 / 70 / 30 м², поверх 19 з 23, з ремонтом, цегляний будинок, 2008, сьогодні о 18:38, Створено сьогодні о 18:38",130 м²,Царське село,
flatfy,https://flatfy.ua/redirect/4688921448,$ 248,"2 кімнати, 45 / 30 / 6 м², поверх 3 з 5, без ремонту, панельні, 1965, сьогодні о 16:12, Створено сьогодні о 16:12",45 м²,Нивки,
flatfy,https://flatfy.ua/redirect/4673098705,$ 518,"1 кімната, 65 / 29 / 18 м², поверх 11 з 25, з ремонтом, монолітно-каркасний, 2010, сьогодні о 16:27, Створено сьогодні о 15:13",65 м²,Солом'янка,
flatfy,https://flatfy.ua/redirect/4689529805,$ 451,"3 кімнати, 80 / 54 / 13 м², поверх 3 з 3, з ремонтом, цегляний будинок, 1959, сьогодні о 19:21, Створено сьогодні о 19:15",80 м²,Святошино,
flatfy,https://flatfy.ua/redirect/4688051855,$ 338,"1 кімната, 40 / 17.5 / 8.5 м², поверх 11 з 16, з ремонтом, утеплена панель, 2004, сьогодні о 11:10, Створено сьогодні о 11:10",40 м²,Лісовий,
flatfy,https://flatfy.ua/redirect/4688684300,$ 428,"2 кімнати, 64 / 38 / 10 м², поверх 2 з 10, з ремонтом, монолітно-каркасний, 2001, сьогодні о 15:11, Створено сьогодні о 15:02",64 м²,Олександрівська Слобідка,
flatfy,https://flatfy.ua/redirect/4689452266,$ 316,"1 кімната, 42 / 17 / 10 м², поверх 7 з 10, з ремонтом, монолітно-каркасний, 1999, сьогодні о 18:57, Створено сьогодні о 18:57",42 м²,Відрадний,
flatfy,https://flatfy.ua/redirect/4687777143,$ 541,"1 кімната, 43 / 23 / 20 м², поверх 23 з 26, з ремонтом, монолітно-каркасний, 1969, сьогодні о 19:57, Створено сьогодні о 09:51",43 м²,Верхня Теличка,
flatfy,https://flatfy.ua/redirect/4666370712,$ 338,"1 кімната, 44 / 18 / 12 м², поверх 11 з 25, з ремонтом, монолітно-каркасний, 2017, сьогодні о 14:27, Створено сьогодні о 14:27",44 м²,Мінський,
flatfy,https://flatfy.ua/redirect/4689799010,$ 900,"1 кімната, 50 / 20 / 15 м², поверх 12 з 24, з ремонтом, блочні, 2017, сьогодні о 20:50, Створено сьогодні о 20:50",50 м²,Чорна Гора,
flatfy,https://flatfy.ua/redirect/4688993104,$ 1 200,"3 кімнати, 77 / 40 / 12 м², поверх 13 з 19, з ремонтом, цегляний будинок, 2017, сьогодні о 16:38, Створено сьогодні о 16:37",77 м²,Солом'янка,
flatfy,https://flatfy.ua/redirect/4688146169,$ 574,"2 кімнати, 77 / 39 / 14 м², поверх 16 з 19, з ремонтом, цегляний будинок, 2016, сьогодні о 14:23, Створено сьогодні о 11:49",77 м²,Відрадний,
flatfy,https://flatfy.ua/redirect/4688478705,$ 3 900,"2 кімнати, 81 / 60 / 15 м², поверх 26 з 31, з ремонтом, цегляний будинок, 2023, сьогодні о 13:52, Створено сьогодні о 13:52",81 м²,Нижній Печерськ,
flatfy,https://flatfy.ua/redirect/4688463476,$ 4 500,"4 кімнати, 130 / 90 / 20 м², поверх 10 з 29, з ремонтом, монолітно-каркасний, 2017, сьогодні о 13:43, Створено сьогодні о 13:43",130 м²,Чорна Гора,
flatfy,https://flatfy.ua/redirect/4689150278,$ 1 400,"2 кімнати, 94 / 50 / 15 м², поверх 12 з 13, з ремонтом, монолітно-каркасний, 2013, сьогодні о 17:16, Створено сьогодні о 17:16",94 м²,Солдатська слобідка,
flatfy,https://flatfy.ua/redirect/4688991327,$ 800,"1 кімната, 50 / 18 / 17 м², поверх 12 з 18, з ремонтом, монолітно-каркасний, 2016, сьогодні о 16:37, Створено сьогодні о 16:34",50 м²,Нижній Печерськ,
flatfy,https://flatfy.ua/redirect/4688587813,$ 1 300,"2 кімнати, 68 / 40 / 12 м², поверх 6 з 26, з ремонтом, монолітно-каркасний, 2020, сьогодні о 14:29, Створено сьогодні о 14:29",68 м²,Верхня Теличка,
flatfy,https://flatfy.ua/redirect/4616961413,$ 563,"2 кімнати, 50 / 12 / 38 м², поверх 3 з 9, з ремонтом, панельні, 1974, 14 травня, Створено 14 травня",50 м²,Оболонь,
flatfy,https://flatfy.ua/redirect/4687289375,$ 1 000,"3 кімнати, 90 / 55 / 20 м², поверх 2 з 5, з ремонтом, цегляний будинок, 1958, сьогодні о 07:13, Створено сьогодні о 07:13",90 м²,Нова забудова,
flatfy,https://flatfy.ua/redirect/4687295408,$ 541,"1 кімната, 51 / 20 / 15 м², поверх 20 з 26, з ремонтом, монолітно-каркасний, 2017, сьогодні о 07:18, Створено сьогодні о 07:18",51 м²,Північно-Броварський,
flatfy,https://flatfy.ua/redirect/4688253095,$ 541,"2 кімнати, 64 / 28 / 13 м², поверх 2 з 20, з ремонтом, блочні, 2020, сьогодні о 12:28, Створено сьогодні о 12:24",64 м²,Сирець,
flatfy,https://flatfy.ua/redirect/4592689472,$ 361,"2 кімнати, 56 / 38 / 9 м², поверх 1 з 9, з ремонтом, утеплена панель, 1987, сьогодні о 12:16, Створено сьогодні о 12:16",56 м²,Харківський,
flatfy,https://flatfy.ua/redirect/4688265455,$ 1 699,"3 кімнати, 65 / 30 / 10 м², поверх 16 з 24, з ремонтом, монолітно-каркасний, 2017, сьогодні о 12:29, Створено сьогодні о 12:29",65 м²,Нова забудова,
flatfy,https://flatfy.ua/redirect/4687796378,$ 349,"1 кімната, 32 / 17 / 4 м², поверх 10 з 26, з ремонтом, монолітно-каркасний, 2018, сьогодні о 10:12, Створено сьогодні о 09:57",32 м²,Микільська Слобідка,
flatfy,https://flatfy.ua/redirect/4687934397,$ 563,"1 кімната, 51 / 15 / 22 м², поверх 18 з 25, з ремонтом, монолітно-каркасний, 2018, сьогодні о 10:37, Створено сьогодні о 10:37",51 м²,Солом'янка,
flatfy,https://flatfy.ua/redirect/4688845601,$ 192,"1 кімната, 26 / 18 / 8 м², поверх 1 з 5, з ремонтом, цегляний будинок, 1961, сьогодні о 16:40, Створено сьогодні о 15:54",26 м²,Голосіїв,
flatfy,https://flatfy.ua/redirect/4688515840,$ 338,"1 кімната, 37 / 27 / 10 м², поверх 1 з 7, з ремонтом, панельні, 2018, сьогодні о 14:01, Створено сьогодні о 14:00",37 м²,Берковець,
flatfy,https://flatfy.ua/redirect/4639722482,$ 1 000,"1 кімната, 51 / 19 / 15 м², поверх 10 з 24, з ремонтом, монолітно-каркасний, 2018, сьогодні о 12:46, Створено сьогодні о 12:46",51 м²,Нижній Печерськ,
flatfy,https://flatfy.ua/redirect/4688319309,$ 518,"2 кімнати, 50 / 29 / 7 м², поверх 1 з 9, з ремонтом, утеплена панель, 1976, сьогодні о 12:48, Створено сьогодні о 12:48",50 м²,Оболонь,
flatfy,https://flatfy.ua/redirect/4688382799,$ 428,"1 кімната, 47 / 37 / 10 м², поверх 14 з 24, з ремонтом, цегляний будинок, 2024, сьогодні о 13:10, Створено сьогодні о 13:10",47 м²,Сирець,
flatfy,https://flatfy.ua/redirect/4688570666,$ 338,"1 кімната, 30 / 20 / 10 м², поверх 8 з 11, з ремонтом, блочні, 2022, сьогодні о 14:18, Створено сьогодні о 14:17",30 м²,Харківський,
flatfy,https://flatfy.ua/redirect/4666880594,$ 631,"1 кімната, 57.5 / 25 / 20 м², поверх 8 з 20, з ремонтом, монолітно-каркасний, 2007, сьогодні о 18:04, Створено сьогодні о 18:04",57.5 м²,Позняки,
flatfy,https://flatfy.ua/redirect/4689536513,$ 304,"1 кімната, 36 / 26 / 10 м², поверх 2 з 9, з ремонтом, утеплена панель, 1983, сьогодні о 19:23, Створено сьогодні о 19:21",36 м²,Борщагівка,
flatfy,https://flatfy.ua/redirect/4688976155,$ 293,"1 кімната, 36 / 20 / 6 м², поверх 3 з 5, з ремонтом, цегляний будинок, 1967, сьогодні о 16:30, Створено сьогодні о 16:30",36 м²,Куренівка,
flatfy,https://flatfy.ua/redirect/4687357470,$ 451,"1 кімната, 45 / 18 / 17 м², поверх 11 з 24, з ремонтом, монолітно-каркасний, 2016, сьогодні о 17:38, Створено сьогодні о 07:37",45 м²,Теремки-1,
flatfy,https://flatfy.ua/redirect/4689124287,$ 541,"1 кімната, 44 / 16 / 17 м², поверх 16 з 26, з ремонтом, монолітно-каркасний, 2022, сьогодні о 17:07, Створено сьогодні о 17:07",44 м²,Подільський,
flatfy,https://flatfy.ua/redirect/4688650268,$ 563,"3 кімнати, 108 / 50 / 35 м², поверх 14 з 20, з ремонтом, монолітно-каркасний, 2007, сьогодні о 14:52, Створено сьогодні о 14:52",108 м²,Позняки,
flatfy,https://flatfy.ua/redirect/4689006754,$ 293,"1 кімната, 33 / 26 / 7 м², поверх 4 з 5, з ремонтом, цегляний будинок, 1960, сьогодні о 16:46, Створено сьогодні о 16:41",33 м²,Нивки,
