source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
olx,https://www.olx.ua/d/uk/obyavlenie/vd-vlasnika-zdam-1-k-kvartiru-bez-koms-kiv-metro-darnitsya-IDYKCPP.html?search_reason=search%7Cpromoted,17500,UAH,395.32,0,,,Дніпровський,"Від власника! Здам 1-к квартиру , без комісії. Київ, метро Дарниця",,17 500 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zhk-novopecherska-vezha-pecherskiy-rayon-metro-vidubich-zvrinetska-studya-nvertor-generator-plzemniy-parkng-ukrittya-novopecherski-lipki-verhoglyada-ID10zCPz.html?search_reason=search%7Cpromoted,26575,UAH,600.33,0,,,Печерський,ЖК Новопечерська Вежа Печерський район метро Видубичі Звіринецька студія інвертор генератор пілземний паркінг укриття Новопечерськи Липки Верхогляда,,26 575.85 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-4k-kvartiri-zhk-novopechersk-lipki-pechersk-IDXQEXQ.html?search_reason=search%7Cpromoted,119148,UAH,2691.54,3,,,Печерський,Оренда 4К Квартири ЖК Новопечерські Липки Печерськ,,119 148.38 грн.Договірна
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartiri-41m2-2-okrem-kmnati-kuhnya-studya-zhk-komfort-taun-regeneratorna-4-korp-3-ID10yqPp.html?search_reason=search%7Corganic,27119,UAH,612.62,0,41,14.94,Дніпровський,"Оренда квартири 41м2 (2 окремі кімнати + кухня-студія) ЖК Комфорт Таун, Регенераторна 4/корп. 3",41м2,27 119.82 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/supervidova-stilna-2-kmnatna-kvartira-v-zhk-kardinal-pechersk-m-palats-ukrana-ID10wAz3.html?search_reason=search%7Corganic,39863,UAH,900.50,1,,,Печерський,Супервидова стильна 2-кімнатна квартира в ЖК «Кардинал» • Печерськ • м. Палац Україна,,39 863.77 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/persha-zdacha-2k-kvartira-62-m-zhk-dbrova-park-bez-koms-vlasnik-ID10jUc2.html?search_reason=search%7Corganic,33000,UAH,745.47,1,62,12.02,Подільський,Перша здача! 2к квартира 62 м² ЖК Діброва Парк | без комісії | власник,62 м²,33 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-3-h-km-kvartiru-prospekt-obolonskiy-bez-koms-ID10yWXv.html?search_reason=search%7Corganic,27000,UAH,609.93,2,,,Оболонський,Здам 3-х кім. квартиру Проспект Оболонський. БЕЗ КОМІСІЇ,,27 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2-kmnatna-osokorki-poznyaki-patrotika-chavdar-ID10zEiV.html?search_reason=search%7Corganic,28000,UAH,632.52,1,,,Дарницький,Оренда 2 кімнатна  Осокорки Позняки Патріотика Чавдар,,28 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-1-komnatnuyu-kvartiru-metro-zhitomirskaya-ID10Apjk.html?search_reason=search%7Corganic,8000,UAH,180.72,0,,,Святошинський,"Сдам 1 комнатную квартиру метро ""Житомирская""",,8 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2k-kvartiri-zhk-obolonsky-obolonskiy-prospekt-kiv-ID10ztH4.html?search_reason=search%7Corganic,34000,UAH,768.06,1,,,Оболонський,"Оренда 2к квартири, ЖК ObolonSky, Оболонський проспект, Київ",,34 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-bez-poserednikv-1km-kv-vrodvushku-m-akademmstechko-3hv-pshki-ID10z2CW.html?search_reason=search%7Cpromoted,22000,UAH,496.98,0,,,Святошинський,Здам без посередників 1кім.кв.євродвушку м.Академмістечко 3хв.пішки,,22 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-1k-kvartiru-bez-komissii-i-zaloga-peredovaya-33v-IDXb4tM.html?search_reason=search%7Cpromoted,12000,UAH,271.08,0,,,Голосіївський,Сдам 1к квартиру. Без комиссии и залога. Передовая 33в,,12 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-4-kmnatnu-kvartiru-zhk-frantsuzkiy-kvartal-om-IDZZ0OQ.html?search_reason=search%7Cpromoted,177172,UAH,4002.30,3,,,Печерський,Здам 4 кімнатну квартиру ЖК Французький квартал OM,,177 172.31 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-3-k-kvartiru-zhk-demvka-golosvskiy-park-avenyu-metro-goloseevskaya-i-demeevskaya-ID10wrym.html?search_reason=search%7Corganic,39863,UAH,900.50,2,,,Голосіївський,"Здам 3-к квартиру ЖК Деміївка Голосіївський Парк Авеню, метро Голосеевская и Демеевская",,39 863.77 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-mnmalstichno-1-km-kvartiri-z-vdkritim-balkonom-v-suchasnomu-zhk-respublka-ID10uBsA.html?search_reason=search%7Corganic,25000,UAH,564.75,0,,,Голосіївський,Оренда мінімалістичної 1-кім. квартири з відкритим балконом в сучасному ЖК Республіка,,25 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/stilna-ta-komfortna-2-kmnatna-kvartira-v-suchasnomu-zhk-yaskraviy-ID10sLxp.html?search_reason=search%7Corganic,25000,UAH,564.75,1,,,Оболонський,Стильна та комфортна 2-кімнатна квартира в сучасному ЖК «ЯСКРАВИЙ»,,25 000 грн.
