source,url,price_text,rooms_text,sqm_text,district,listed_at_text
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartira-194m2-4kmn-zhk-novopechersk-lipki-generator-ID10wx4Y.html?search_reason=search%7Corganic,212 606.77 грн.,Оренда Квартира 194м2 4кімн ЖК Новопечерські Липки Генератор,194м2,Печерський,"Київ, Печерський - Сьогодні о 13:46"
olx,https://www.olx.ua/d/uk/obyavlenie/dolgosrochnaya-arenda-kvartiry-dragomanova-31v-metro-5-minut-hodb-IDTDfIx.html?search_reason=search%7Cpromoted,18 500 грн.Договірна,Долгосрочная аренда квартиры Драгоманова 31в. Метро 5 минут ходьб,,Дарницький,"Київ, Дарницький - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartiri-sadovo-botanchna-pechersk-kiv-ID10A30r.html?search_reason=search%7Corganic,110 732.70 грн.,"Оренда квартири, Садово-Ботанічна, Печерськ, Київ",,Печерський,"Київ, Печерський - Сьогодні о 16:39"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2-k-kvartiri-bez-koms-vul-peremishilska-10-vinogradar-ID10i9lG.html?search_reason=search%7Corganic,13 000 грн.,"Оренда 2-к квартири БЕЗ КОМІСІЇ, вул. Перемишильська 10, ""Виноградар""",,Подільський,"Київ, Подільський - Сьогодні о 08:52"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-3kmn-kvartiri-zhk-novopechersk-lipki-pechersk-ID10wC2A.html?search_reason=search%7Corganic,159 455.08 грн.,"Оренда 3кімн квартири ЖК Новопечерські Липки,Печерськ",,Печерський,"Київ, Печерський - Сьогодні о 16:37"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-zhk-tetris-hall-vul-fedorova-2a-olmpyska-ID10AgGH.html?search_reason=search%7Corganic,75 298.23 грн.,"Оренда 1к квартири, ЖК Tetris Hall, вул. Федорова, 2а, Олімпійська",,Печерський,"Київ, Печерський - Сьогодні о 11:12"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1-k-kvartiri-zhk-varshavskiy-3-44m2-bez-koms-sltlo-24-7-IDZ0DoU.html?search_reason=search%7Corganic,26 000 грн.,"Оренда 1-к квартири, ЖК Варшавський 3, 44м2, БЕЗ КОМІСІЇ, слітло 24/7",44м2,Подільський,"Київ, Подільський - Сьогодні о 09:45"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartira-206m2-3kmn-zhk-andersen-vul-schovih-strltsv-ID10wxXW.html?search_reason=search%7Corganic,79 727.54 грн.,Оренда Квартира 206м2 3кімн ЖК Андерсен вул Січових Стрільців,206м2,Шевченківський,"Київ, Шевченківський - Сьогодні о 14:14"
olx,https://www.olx.ua/d/uk/obyavlenie/arenda-kvartiry-pr-t-beresteyskiy-zhk-victory-v-svyatoshinskiy-r-n-svyatoshino-ID10wzUB.html?search_reason=search%7Corganic,57 581 грн.,"Аренда квартиры, пр-т Берестейский, ЖК Victory V, Святошинский р-н, Святошино",,Святошинський,"Київ, Святошинський - Сьогодні о 15:21"
olx,https://www.olx.ua/d/uk/obyavlenie/bez-koms-orenda-2-km-kuhnya-studya-zhk-rvra-gaz-2-poverh-ID10gROQ.html?search_reason=search%7Corganic,35 000 грн.,БЕЗ комісії. Оренда 2 км + кухня студія. ЖК Рів'єра. ГАЗ. 2 поверх,,Дарницький,"Київ, Дарницький - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvratira-48m2-1kmn-zhk-greenville-pechersk-ID10wFMd.html?search_reason=search%7Corganic,53 151.69 грн.,Оренда Квратира 48м2 1кімн ЖК Greenville Печерськ,48м2,Печерський,"Київ, Печерський - Сьогодні о 18:55"
