source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
flatfy,https://flatfy.ua/redirect/4654755288,473,USD,473.00,1,65,7.28,Солом’янський,"2 кімнати, 65 / - / 12 м², поверх 5 з 5, з ремонтом, цегляний будинок, 1958, сьогодні о 18:11, Створено сьогодні о 18:11",65 м²,$ 473
flatfy,https://flatfy.ua/redirect/3823975278,271,USD,271.00,1,60,4.52,Троєщина,"2 кімнати, 60 / - / 10 м², поверх 6 з 10, з ремонтом, цегляний будинок, 1995, сьогодні о 17:56, Створено сьогодні о 17:56",60 м²,$ 271
flatfy,https://flatfy.ua/redirect/4688785152,361,USD,361.00,1,50,7.22,Шевченківський,"2 кімнати, 50 / 43 / 7 м², поверх 5 з 10, з ремонтом, утеплена панель, 1993, сьогодні о 15:34, Створено сьогодні о 15:34",50 м²,$ 361
flatfy,https://flatfy.ua/redirect/4688655992,383,USD,383.00,1,54.3,7.05,Шевченківський,"2 кімнати, 54.3 / 33.9 / 7.1 м², поверх 5 з 9, з ремонтом, панельні, 1972, сьогодні о 14:53, Створено сьогодні о 14:53",54.3 м²,$ 383
flatfy,https://flatfy.ua/redirect/4671344314,563,USD,563.00,1,53,10.62,Черепанова гора,"2 кімнати, 53 / 30 / 7 м², поверх 8 з 9, з ремонтом, панельні, 1972, сьогодні о 18:58, Створено сьогодні о 18:58",53 м²,$ 563
flatfy,https://flatfy.ua/redirect/4688553676,496,USD,496.00,1,45,11.02,Шевченківський,"2 кімнати, 45 / - / 10 м², поверх 2 з 5, з ремонтом, цегляний будинок, 1965, сьогодні о 14:07, Створено сьогодні о 14:07",45 м²,$ 496
flatfy,https://flatfy.ua/redirect/3699568355,563,USD,563.00,1,45,12.51,Оболонський,"2 кімнати, 45 / 26 / 8 м², поверх 8 з 16, з ремонтом, утеплена панель, 1979, сьогодні о 16:44, Створено сьогодні о 16:44",45 м²,$ 563
flatfy,https://flatfy.ua/redirect/4316931606,856,USD,856.00,2,121,7.07,,"3 кімнати, 121 / 71 / 12 м², поверх 6 з 6, з ремонтом, цегляний будинок, 1914, сьогодні о 16:39, Створено сьогодні о 16:39",121 м²,$ 856
flatfy,https://flatfy.ua/redirect/4381432900,898,USD,898.00,2,135.8,6.61,Лук'янівка,"3 кімнати, 135.8 / 74.8 / 16.3 м², поверх 19 з 24, з ремонтом, монолітно-каркасний, 2005, сьогодні о 16:40, Створено сьогодні о 16:40",135.8 м²,$ 898
flatfy,https://flatfy.ua/redirect/4659869045,496,USD,496.00,1,90,5.51,Березняки,"2 кімнати, 90 / - / 12 м², поверх 10 з 25, з ремонтом, монолітно-каркасний, 2007, сьогодні о 16:36, Створено сьогодні о 16:36",90 м²,$ 496
flatfy,https://flatfy.ua/redirect/4688397464,451,USD,451.00,0,28.7,15.71,Голосіївський,"1 кімната, 28.7 / 16.3 / 5 м², поверх 1 з 5, з ремонтом, панельні, 1961, сьогодні о 13:57, Створено сьогодні о 13:57",28.7 м²,$ 451
flatfy,https://flatfy.ua/redirect/4637041497,338,USD,338.00,0,44,7.68,Солом’янський,"1 кімната, 44 м², поверх 9 з 9, з ремонтом, панельні, 1973, сьогодні о 16:57, Створено сьогодні о 16:57",44 м²,$ 338
flatfy,https://flatfy.ua/redirect/4688479109,788,USD,788.00,0,65,12.12,Оболонський,"1 кімната, 65 м², поверх 1 з 4, з ремонтом, 2021, сьогодні о 15:13, Створено сьогодні о 15:13",65 м²,$ 788
flatfy,https://flatfy.ua/redirect/4689532832,293,USD,293.00,0,30,9.77,Стара Дарниця,"1 кімната, 30 м², поверх 3 з 5, з ремонтом, цегляний будинок, 1969, сьогодні о 19:16, Створено сьогодні о 19:16",30 м²,$ 293
flatfy,https://flatfy.ua/redirect/4689355842,338,USD,338.00,0,42,8.05,Новобіличі,"1 кімната, 42 / 33 / 9 м², поверх 2 з 16, з ремонтом, утеплена панель, 2012, сьогодні о 18:26, Створено сьогодні о 18:26",42 м²,$ 338
flatfy,https://flatfy.ua/redirect/3932002777,417,USD,417.00,0,28,14.89,Караваєві Дачі,"1 кімната, 28 / 20 / 8 м², поверх 13 з 25, з ремонтом, монолітно-каркасний, 2021, сьогодні о 21:01, Створено сьогодні о 21:01",28 м²,$ 417
flatfy,https://flatfy.ua/redirect/4658690551,293,USD,293.00,0,35,8.37,Харківський,"1 кімната, 35 / 18 / 8.6 м², поверх 4 з 9, з ремонтом, утеплена панель, 1985, сьогодні о 20:07, Створено сьогодні о 20:07",35 м²,$ 293
